,UTF-8,字,class_idx
1105,E882A2,肢,8
1106,E88482,脂,1
1107,E887B3,至,5
1108,E8A696,視,9
1109,E8A99E,詞,1
1110,E8A9A9,詩,7
1111,E8A9A6,試,8
1112,E8AA8C,誌,1
1113,E8ABAE,諮,1
1114,E8B387,資,6
1115,E8B39C,賜,1
1116,E99B8C,雌,8
1117,E9A3BC,飼,4
1118,E6ADAF,歯,3
1119,E4BA8B,事,5
1120,E4BCBC,似,9
1121,E4BE8D,侍,3
1122,E58590,児,2
1123,E5AD97,字,5
1124,E5AFBA,寺,2
1125,E68588,慈,2
1126,E68C81,持,3
1127,E69982,時,7
1128,E6ACA1,次,6
1129,E6BB8B,滋,0
1130,E6B2BB,治,0
1131,E788BE,爾,1
1132,E792BD,璽,6
1133,E79794,痔,3
1134,E7A381,磁,6
1135,E7A4BA,示,5
1136,E8808C,而,1
1137,E880B3,耳,3
1138,E887AA,自,2
1139,E89294,蒔,7
1140,E8BE9E,辞,7
1141,E6B190,汐,0
1142,E9B9BF,鹿,6
1143,E5BC8F,式,6
1144,E8AD98,識,8
1145,E9B4AB,鴫,4
1146,E7ABBA,竺,2
1147,E8BBB8,軸,1
1148,E5AE8D,宍,5
1149,E99BAB,雫,5
1150,E4B883,七,2
1151,E58FB1,叱,1
1152,E59FB7,執,4
1153,E5A4B1,失,5
1154,E5AB89,嫉,4
1155,E5AEA4,室,5
1156,E68289,悉,5
1157,E6B9BF,湿,0
1158,E6BC86,漆,0
1159,E796BE,疾,9
1160,E8B3AA,質,6
1161,E5AE9F,実,6
1162,E89480,蔀,7
1163,E7AFA0,篠,3
1164,E581B2,偲,3
1165,E69FB4,柴,5
1166,E88A9D,芝,2
1167,E5B1A1,屡,8
1168,E8958A,蕊,1
1169,E7B89E,縞,4
1170,E8888E,舎,2
1171,E58699,写,7
1172,E5B084,射,1
1173,E68DA8,捨,9
1174,E8B5A6,赦,8
1175,E6969C,斜,1
1176,E785AE,煮,6
1177,E7A4BE,社,9
1178,E7B497,紗,4
1179,E88085,者,2
1180,E8AC9D,謝,1
1181,E8BB8A,車,5
1182,E981AE,遮,0
1183,E89B87,蛇,1
1184,E982AA,邪,5
1185,E5809F,借,3
1186,E58BBA,勺,1
1187,E5B0BA,尺,6
1188,E69D93,杓,3
1189,E781BC,灼,1
1190,E788B5,爵,1
1191,E9858C,酌,1
1192,E98788,釈,4
1193,E98CAB,錫,4
1194,E88BA5,若,7
1195,E5AF82,寂,6
1196,E5BCB1,弱,1
1197,E683B9,惹,2
1198,E4B8BB,主,5
1199,E58F96,取,8
1200,E5AE88,守,7
1201,E6898B,手,5
1202,E69CB1,朱,5
1203,E6AE8A,殊,7
1204,E78BA9,狩,7
1205,E78FA0,珠,7
1206,E7A8AE,種,9
1207,E885AB,腫,8
1208,E8B6A3,趣,8
1209,E98592,酒,0
1210,E9A696,首,7
1211,E58492,儒,3
1212,E58F97,受,6
1213,E591AA,呪,8
1214,E5AFBF,寿,2
1215,E68E88,授,9
1216,E6A8B9,樹,3
1217,E7B6AC,綬,4
1218,E99C80,需,1
1219,E59B9A,囚,1
1220,E58F8E,収,8
1221,E591A8,周,1
1222,E5AE97,宗,5
1223,E5B0B1,就,4
1224,E5B79E,州,3
1225,E4BFAE,修,3
1226,E68481,愁,2
1227,E68BBE,拾,9
1228,E6B4B2,洲,0
1229,E7A780,秀,2
1230,E7A78B,秋,9
1231,E7B582,終,4
1232,E7B98D,繍,4
1233,E7BF92,習,3
1234,E887AD,臭,6
1235,E8889F,舟,2
1236,E89290,蒐,7
1237,E8A186,衆,5
1238,E8A5B2,襲,6
1239,E8AE90,讐,6
1240,E8B9B4,蹴,8
1241,E8BCAF,輯,4
1242,E980B1,週,0
1243,E9858B,酋,3
1244,E985AC,酬,4
1245,E99B86,集,5
1246,E9869C,醜,8
1247,E4BB80,什,2
1248,E4BD8F,住,9
1249,E58585,充,2
1250,E58D81,十,5
1251,E5BE93,従,9
1252,E6888E,戎,6
1253,E69F94,柔,5
1254,E6B181,汁,7
1255,E6B88B,渋,0
1256,E78DA3,獣,8
1257,E7B8A6,縦,4
1258,E9878D,重,5
1259,E98A83,銃,4
1260,E58F94,叔,9
1261,E5A499,夙,6
1262,E5AEBF,宿,3
1263,E6B791,淑,0
1264,E7A59D,祝,9
1265,E7B8AE,縮,4
1266,E7B29B,粛,5
1267,E5A1BE,塾,7
1268,E7869F,熟,7
1269,E587BA,出,2
1270,E8A193,術,3
1271,E8BFB0,述,0
1272,E4BF8A,俊,9
1273,E5B3BB,峻,4
1274,E698A5,春,2
1275,E79EAC,瞬,4
1276,E7ABA3,竣,4
1277,E8889C,舜,3
1278,E9A7BF,駿,8
1279,E58786,准,6
1280,E5BEAA,循,4
1281,E697AC,旬,1
1282,E6A5AF,楯,3
1283,E6AE89,殉,1
1284,E6B7B3,淳,0
1285,E6BA96,準,5
1286,E6BDA4,潤,0
1287,E79BBE,盾,1
1288,E7B494,純,4
1289,E5B7A1,巡,0
1290,E981B5,遵,0
1291,E98687,醇,7
1292,E9A086,順,8
1293,E587A6,処,9
1294,E5889D,初,3
1295,E68980,所,1
1296,E69A91,暑,3
1297,E69B99,曙,1
1298,E6B89A,渚,0
1299,E5BAB6,庶,6
1300,E7B792,緒,4
1301,E7BDB2,署,3
1302,E69BB8,書,5
1303,E896AF,薯,7
1304,E897B7,藷,7
1305,E8ABB8,諸,1
1306,E58AA9,助,1
1307,E58F99,叙,8
1308,E5A5B3,女,6
1309,E5BA8F,序,0
1310,E5BE90,徐,3
1311,E68195,恕,2
1312,E98BA4,鋤,4
1313,E999A4,除,8
1314,E582B7,傷,3
1315,E5849F,償,9
1316,E58B9D,勝,1
1317,E58CA0,匠,2
1318,E58D87,升,7
1319,E58FAC,召,2
1320,E593A8,哨,1
1321,E59586,商,6
1322,E594B1,唱,1
1323,E59897,嘗,5
1324,E5A5A8,奨,5
1325,E5A6BE,妾,6
1326,E5A8BC,娼,4
1327,E5AEB5,宵,2
1328,E5B086,将,3
1329,E5B08F,小,5
1330,E5B091,少,5
1331,E5B09A,尚,1
1332,E5BA84,庄,2
1333,E5BA8A,床,0
1334,E5BBA0,廠,8
1335,E5BDB0,彰,7
1336,E689BF,承,5
1337,E68A84,抄,3
1338,E68B9B,招,9
1339,E68E8C,掌,5
1340,E68DB7,捷,9
1341,E69887,昇,7
1342,E6988C,昌,1
1343,E698AD,昭,1
1344,E699B6,晶,1
1345,E69DBE,松,9
1346,E6A2A2,梢,3
1347,E6A89F,樟,3
1348,E6A8B5,樵,9
1349,E6B2BC,沼,0
1350,E6B688,消,0
1351,E6B889,渉,0
1352,E6B998,湘,0
1353,E784BC,焼,4
1354,E784A6,焦,9
1355,E785A7,照,8
1356,E79787,症,9
1357,E79C81,省,2
1358,E7A19D,硝,1
1359,E7A481,礁,6
1360,E7A5A5,祥,3
1361,E7A7B0,称,7
1362,E7ABA0,章,5
1363,E7AC91,笑,6
1364,E7B2A7,粧,4
1365,E7B4B9,紹,1
1366,E88296,肖,2
1367,E88F96,菖,7
1368,E8928B,蒋,7
1369,E89589,蕉,7
1370,E8A19D,衝,3
1371,E8A3B3,裳,6
1372,E8A89F,訟,1
1373,E8A8BC,証,8
1374,E8A994,詔,1
1375,E8A9B3,詳,7
1376,E8B1A1,象,6
1377,E8B39E,賞,6
1378,E986A4,醤,1
1379,E989A6,鉦,4
1380,E98DBE,鍾,4
1381,E99098,鐘,4
1382,E99A9C,障,7
1383,E99E98,鞘,1
1384,E4B88A,上,5
1385,E4B888,丈,5
1386,E4B89E,丞,5
1387,E4B997,乗,5
1388,E58697,冗,2
1389,E589B0,剰,1
1390,E59F8E,城,8
1391,E5A0B4,場,4
1392,E5A38C,壌,8
1393,E5ACA2,嬢,4
1394,E5B8B8,常,6
1395,E68385,情,3
1396,E693BE,擾,9
1397,E69DA1,条,5
1398,E69D96,杖,9
1399,E6B584,浄,0
1400,E78AB6,状,9
1401,E795B3,畳,6
1402,E7A9A3,穣,9
1403,E892B8,蒸,7
1404,E8ADB2,譲,8
1405,E986B8,醸,8
1406,E98CA0,錠,4
1407,E598B1,嘱,8
1408,E59FB4,埴,8
1409,E9A3BE,飾,7
1410,E68BAD,拭,9
1411,E6A48D,植,9
1412,E6AE96,殖,6
1413,E787AD,燭,4
1414,E7B994,織,4
1415,E881B7,職,8
1416,E889B2,色,2
1417,E8A7A6,触,4
1418,E9A39F,食,6
1419,E89D95,蝕,4
1420,E8BEB1,辱,3
1421,E5B0BB,尻,6
1422,E4BCB8,伸,3
1423,E4BFA1,信,3
1424,E4BEB5,侵,9
1425,E59487,唇,3
1426,E5A8A0,娠,4
1427,E5AF9D,寝,6
1428,E5AFA9,審,5
1429,E5BF83,心,2
1430,E6858E,慎,9
1431,E68CAF,振,9
1432,E696B0,新,1
1433,E6998B,晋,2
1434,E6A3AE,森,2
1435,E6A69B,榛,3
1436,E6B5B8,浸,0
1437,E6B7B1,深,0
1438,E794B3,申,5
1439,E796B9,疹,9
1440,E79C9F,真,6
1441,E7A59E,神,3
1442,E7A7A6,秦,5
1443,E7B4B3,紳,4
1444,E887A3,臣,2
1445,E88AAF,芯,2
1446,E896AA,薪,7
1447,E8A6AA,親,4
1448,E8A8BA,診,7
1449,E8BAAB,身,2
1450,E8BE9B,辛,5
1451,E980B2,進,0
1452,E9879D,針,2
1453,E99C87,震,8
1454,E4BABA,人,5
1455,E4BB81,仁,9
1456,E58883,刃,2
1457,E5A1B5,塵,6
1458,E5A3AC,壬,5
1459,E5B08B,尋,7
1460,E7949A,甚,7
1461,E5B0BD,尽,3
1462,E8858E,腎,7
1463,E8A88A,訊,6
1464,E8BF85,迅,0
1465,E999A3,陣,7
1466,E99DAD,靭,1
1467,E7ACA5,笥,1
1468,E8AB8F,諏,3
1469,E9A088,須,8
1470,E985A2,酢,7
1471,E59BB3,図,1
1472,E58EA8,厨,1
1473,E98097,逗,0
1474,E590B9,吹,8
1475,E59E82,垂,5
1476,E5B8A5,帥,7
1477,E68EA8,推,9
1478,E6B0B4,水,5
1479,E7828A,炊,4
1480,E79DA1,睡,8
1481,E7B28B,粋,7
1482,E7BFA0,翠,5
1483,E8A1B0,衰,6
1484,E98182,遂,0
1485,E98594,酔,7
1486,E98C90,錐,4
1487,E98C98,錘,4
1488,E99A8F,随,7
1489,E7919E,瑞,1
1490,E9AB84,髄,4
1491,E5B487,崇,5
1492,E5B5A9,嵩,6
1493,E695B0,数,8
1494,E69EA2,枢,9
1495,E8B6A8,趨,8
1496,E99B9B,雛,4
1497,E68DAE,据,9
1498,E69D89,杉,2
1499,E6A499,椙,3
1500,E88F85,菅,7
1501,E9A097,頗,8
1502,E99B80,雀,5
1503,E8A3BE,裾,9
1504,E6BE84,澄,0
1505,E691BA,摺,9
1506,E5AFB8,寸,7
1507,E4B896,世,3
1508,E780AC,瀬,0
1509,E7959D,畝,8
1510,E698AF,是,1
1511,E58784,凄,0
1512,E588B6,制,1
1513,E58BA2,勢,1
1514,E5A793,姓,4
1515,E5BE81,征,9
1516,E680A7,性,9
1517,E68890,成,4
1518,E694BF,政,8
1519,E695B4,整,2
1520,E6989F,星,6
1521,E699B4,晴,1
1522,E6A3B2,棲,9
1523,E6A096,栖,9
1524,E6ADA3,正,5
1525,E6B885,清,0
1526,E789B2,牲,9
1527,E7949F,生,5
1528,E79B9B,盛,2
1529,E7B2BE,精,4
1530,E88196,聖,2
1531,E5A3B0,声,2
1532,E8A3BD,製,8
1533,E8A5BF,西,6
1534,E8AAA0,誠,8
1535,E8AA93,誓,3
1536,E8AB8B,請,1
1537,E9809D,逝,0
1538,E98692,醒,8
1539,E99D92,青,2
1540,E99D99,静,7
1541,E69689,斉,2
1542,E7A88E,税,9
1543,E88486,脆,6
1544,E99ABB,隻,6
1545,E5B8AD,席,6
1546,E6839C,惜,3
1547,E6889A,戚,4
1548,E696A5,斥,0
1549,E69894,昔,7
1550,E69E90,析,9
1551,E79FB3,石,2
1552,E7A98D,積,6
1553,E7B18D,籍,4
1554,E7B8BE,績,4
1555,E8848A,脊,2
1556,E8B2AC,責,6
1557,E8B5A4,赤,5
1558,E8B7A1,跡,7
1559,E8B99F,蹟,8
1560,E7A2A9,碩,8
1561,E58887,切,3
1562,E68B99,拙,9
1563,E68EA5,接,9
1564,E69182,摂,9
1565,E68A98,折,3
1566,E8A8AD,設,8
1567,E7AA83,窃,3
1568,E7AF80,節,7
1569,E8AAAC,説,8
1570,E99BAA,雪,3
1571,E7B5B6,絶,1
1572,E8888C,舌,2
1573,E89D89,蝉,9
1574,E4BB99,仙,9
1575,E58588,先,2
1576,E58D83,千,5
1577,E58DA0,占,2
1578,E5AEA3,宣,5
1579,E5B082,専,5
1580,E5B096,尖,5
1581,E5B79D,川,1
1582,E688A6,戦,4
1583,E68987,扇,1
1584,E692B0,撰,9
1585,E6A093,栓,9
1586,E6A0B4,栴,3
1587,E6B389,泉,5
1588,E6B585,浅,0
1589,E6B497,洗,0
1590,E69F93,染,5
1591,E6BD9C,潜,0
1592,E7858E,煎,7
1593,E785BD,煽,8
1594,E6978B,旋,6
1595,E7A9BF,穿,7
1596,E7AEAD,箭,4
1597,E7B79A,線,4
1598,E7B98A,繊,4
1599,E7BEA8,羨,6
1600,E885BA,腺,8
1601,E8889B,舛,1
1602,E888B9,船,1
1603,E896A6,薦,7
1604,E8A9AE,詮,8
1605,E8B38E,賎,8
1606,E8B7B5,践,8
1607,E981B8,選,0
1608,E981B7,遷,0
1609,E98AAD,銭,4
1610,E98A91,銑,4
1611,E99683,閃,1
1612,E9AEAE,鮮,7
1613,E5898D,前,1
1614,E59684,善,7
1615,E6BCB8,漸,0
1616,E784B6,然,2
1617,E585A8,全,5
1618,E7A685,禅,3
1619,E7B995,繕,4
1620,E886B3,膳,1
1621,E7B38E,糎,4
1622,E5998C,噌,4
1623,E5A191,塑,2
1624,E5B2A8,岨,4
1625,E68EAA,措,9
1626,E69BBE,曾,3
1627,E69BBD,曽,7
1628,E6A59A,楚,8
1629,E78B99,狙,2
1630,E7968F,疏,4
1631,E7968E,疎,8
1632,E7A48E,礎,6
1633,E7A596,祖,9
1634,E7A79F,租,3
1635,E7B297,粗,1
1636,E7B4A0,素,5
1637,E7B584,組,4
1638,E89887,蘇,7
1639,E8A8B4,訴,1
1640,E998BB,阻,8
1641,E981A1,遡,0
1642,E9BCA0,鼠,4
1643,E583A7,僧,3
1644,E589B5,創,1
1645,E58F8C,双,8
1646,E58FA2,叢,6
1647,E58089,倉,5
1648,E596AA,喪,6
1649,E5A3AE,壮,9
1650,E5A58F,奏,6
1651,E788BD,爽,6
1652,E5AE8B,宋,5
1653,E5B1A4,層,1
1654,E58C9D,匝,6
1655,E683A3,惣,2
1656,E683B3,想,2
1657,E68D9C,捜,9
1658,E68E83,掃,3
1659,E68CBF,挿,3
1660,E68EBB,掻,9
1661,E6938D,操,3
1662,E697A9,早,5
1663,E69BB9,曹,7
1664,E5B7A3,巣,5
1665,E6A78D,槍,9
1666,E6A7BD,槽,3
1667,E6BC95,漕,0
1668,E787A5,燥,8
1669,E4BA89,争,5
1670,E797A9,痩,9
1671,E79BB8,相,9
1672,E7AA93,窓,2
1673,E7B39F,糟,4
1674,E7B78F,総,1
1675,E7B69C,綜,4
1676,E881A1,聡,1
1677,E88D89,草,5
1678,E88D98,荘,7
1679,E891AC,葬,7
1680,E892BC,蒼,7
1681,E897BB,藻,7
1682,E8A385,装,8
1683,E8B5B0,走,0
1684,E98081,送,0
1685,E981AD,遭,0
1686,E98E97,鎗,4
1687,E99C9C,霜,4
1688,E9A892,騒,8
1689,E5838F,像,3
1690,E5A297,増,4
1691,E6868E,憎,3
1692,E88793,臓,8
1693,E894B5,蔵,8
1694,E8B488,贈,1
1695,E980A0,造,0
1696,E4BF83,促,6
1697,E581B4,側,3
1698,E58987,則,1
1699,E58DB3,即,7
1700,E681AF,息,2
1701,E68D89,捉,9
1702,E69D9F,束,5
1703,E6B8AC,測,0
1704,E8B6B3,足,1
1705,E9809F,速,0
1706,E4BF97,俗,3
1707,E5B19E,属,6
1708,E8B38A,賊,8
1709,E6978F,族,4
1710,E7B69A,続,4
1711,E58D92,卒,5
1712,E8A296,袖,9
1713,E585B6,其,6
1714,E68F83,揃,9
1715,E5AD98,存,2
1716,E5ADAB,孫,7
1717,E5B08A,尊,7
1718,E6908D,損,9
1719,E69D91,村,3
1720,E9819C,遜,0
1721,E4BB96,他,3
1722,E5A49A,多,5
1723,E5A4AA,太,5
1724,E6B1B0,汰,0
1725,E8A991,詑,1
1726,E594BE,唾,8
1727,E5A095,堕,2
1728,E5A6A5,妥,6
1729,E683B0,惰,3
1730,E68993,打,2
1731,E69F81,柁,9
1732,E888B5,舵,1
1733,E6A595,楕,3
1734,E99980,陀,1
1735,E9A784,駄,8
1736,E9A8A8,騨,7
1737,E4BD93,体,3
1738,E5A086,堆,8
1739,E5AFBE,対,1
1740,E88090,耐,1
1741,E5B2B1,岱,3
1742,E5B8AF,帯,5
1743,E5BE85,待,3
1744,E680A0,怠,2
1745,E6858B,態,2
1746,E688B4,戴,4
1747,E69BBF,替,7
1748,E6B3B0,泰,5
1749,E6BB9E,滞,0
1750,E8838E,胎,1
1751,E885BF,腿,8
1752,E88B94,苔,7
1753,E8A28B,袋,6
1754,E8B2B8,貸,6
1755,E98080,退,0
1756,E980AE,逮,0
1757,E99A8A,隊,7
1758,E9BB9B,黛,8
1759,E9AF9B,鯛,4
1760,E4BBA3,代,9
1761,E58FB0,台,2
1762,E5A4A7,大,5
1763,E7ACAC,第,7
1764,E9868D,醍,8
1765,E9A18C,題,1
1766,E9B7B9,鷹,6
1767,E6BB9D,滝,0
1768,E780A7,瀧,0
1769,E58D93,卓,5
1770,E59584,啄,7
1771,E5AE85,宅,2
1772,E68998,托,9
1773,E68A9E,択,9
1774,E68B93,拓,9
1775,E6B2A2,沢,0
1776,E6BFAF,濯,0
1777,E790A2,琢,7
1778,E8A897,託,1
1779,E990B8,鐸,9
1780,E6BF81,濁,0
1781,E8ABBE,諾,6
1782,E88CB8,茸,7
1783,E587A7,凧,6
1784,E89BB8,蛸,4
1785,E58FAA,只,6
1786,E58FA9,叩,7
1787,E4BD86,但,3
1788,E98194,達,0
1789,E8BEB0,辰,8
1790,E5A5AA,奪,7
1791,E884B1,脱,8
1792,E5B7BD,巽,6
1793,E7ABAA,竪,2
1794,E8BEBF,辿,0
1795,E6A39A,棚,3
1796,E8B0B7,谷,2
1797,E78BB8,狸,6
1798,E9B188,鱈,4
1799,E6A8BD,樽,3
1800,E8AAB0,誰,8
1801,E4B8B9,丹,2
1802,E58D98,単,5
1803,E59886,嘆,8
1804,E59DA6,坦,9
1805,E68B85,担,9
1806,E68EA2,探,3
1807,E697A6,旦,2
1808,E6AD8E,歎,8
1809,E6B7A1,淡,0
1810,E6B99B,湛,0
1811,E782AD,炭,6
1812,E79FAD,短,1
1813,E7ABAF,端,4
1814,E7AEAA,箪,1
1815,E7B6BB,綻,4
1816,E880BD,耽,4
1817,E88386,胆,8
1818,E89B8B,蛋,6
1819,E8AA95,誕,6
1820,E98D9B,鍛,4
1821,E59BA3,団,1
1822,E5A387,壇,6
1823,E5BCBE,弾,7
1824,E696AD,断,4
1825,E69A96,暖,8
1826,E6AA80,檀,9
1827,E6AEB5,段,8
1828,E794B7,男,2
1829,E8AB87,談,8
1830,E580A4,値,9
1831,E79FA5,知,1
1832,E59CB0,地,1
1833,E5BC9B,弛,2
1834,E681A5,恥,1
1835,E699BA,智,3
1836,E6B1A0,池,0
1837,E797B4,痴,9
1838,E7A89A,稚,9
1839,E7BDAE,置,8
1840,E887B4,致,8
1841,E89C98,蜘,4
1842,E98185,遅,0
1843,E9A6B3,馳,1
1844,E7AF89,築,6
1845,E7959C,畜,5
1846,E7ABB9,竹,2
1847,E7AD91,筑,4
1848,E89384,蓄,7
1849,E98090,逐,0
1850,E7A7A9,秩,9
1851,E7AA92,窒,5
1852,E88CB6,茶,5
1853,E5ABA1,嫡,4
1854,E79D80,着,7
1855,E4B8AD,中,5
1856,E4BBB2,仲,3
1857,E5AE99,宙,5
1858,E5BFA0,忠,2
1859,E68ABD,抽,9
1860,E698BC,昼,6
1861,E69FB1,柱,9
1862,E6B3A8,注,0
1863,E899AB,虫,5
1864,E8A1B7,衷,6
1865,E8A8BB,註,8
1866,E9858E,酎,1
1867,E98BB3,鋳,4
1868,E9A790,駐,8
1869,E6A897,樗,3
1870,E780A6,瀦,0
1871,E78CAA,猪,3
1872,E88BA7,苧,5
1873,E89197,著,7
1874,E8B2AF,貯,7
1875,E4B881,丁,5
1876,E58586,兆,2
1877,E5878B,凋,0
1878,E5968B,喋,8
1879,E5AFB5,寵,6
1880,E5B896,帖,9
1881,E5B8B3,帳,9
1882,E5BA81,庁,2
1883,E5BC94,弔,7
1884,E5BCB5,張,6
1885,E5BDAB,彫,7
1886,E5BEB4,徴,9
1887,E687B2,懲,2
1888,E68C91,挑,9
1889,E69AA2,暢,3
1890,E69C9D,朝,1
1891,E6BDAE,潮,0
1892,E78992,牒,8
1893,E794BA,町,1
1894,E79CBA,眺,8
1895,E881B4,聴,1
1896,E884B9,脹,8
1897,E885B8,腸,1
1898,E89DB6,蝶,4
1899,E8AABF,調,1
1900,E8AB9C,諜,8
1901,E8B685,超,1
1902,E8B7B3,跳,8
1903,E98A9A,銚,4
1904,E995B7,長,6
1905,E9A082,頂,8
1906,E9B3A5,鳥,6
1907,E58B85,勅,1
1908,E68D97,捗,3
1909,E79BB4,直,5
1910,E69C95,朕,8
1911,E6B288,沈,0
1912,E78F8D,珍,7
1913,E8B383,賃,6
1914,E98EAE,鎮,4
1915,E999B3,陳,8
1916,E6B4A5,津,0
1917,E5A29C,墜,5
1918,E6A48E,椎,9
1919,E6A78C,槌,3
1920,E8BFBD,追,0
1921,E98E9A,鎚,4
1922,E7979B,痛,4
1923,E9809A,通,0
1924,E5A19A,塚,7
1925,E6A082,栂,3
1926,E68EB4,掴,9
1927,E6A7BB,槻,3
1928,E4BD83,佃,3
1929,E6BCAC,漬,0
1930,E69F98,柘,9
1931,E8BEBB,辻,0
1932,E894A6,蔦,7
1933,E7B6B4,綴,4
1934,E98D94,鍔,4
1935,E6A4BF,椿,3
1936,E6BDB0,潰,0
1937,E59DAA,坪,3
1938,E5A3B7,壷,5
1939,E5ACAC,嬬,4
1940,E7B4AC,紬,4
1941,E788AA,爪,2
1942,E5908A,吊,7
1943,E987A3,釣,1
1944,E9B6B4,鶴,4
1945,E4BAAD,亭,5
1946,E4BD8E,低,3
1947,E5819C,停,3
1948,E581B5,偵,9
1949,E58983,剃,1
1950,E8B29E,貞,6
1951,E59188,呈,5
1952,E5A0A4,堤,8
1953,E5AE9A,定,0
1954,E5B89D,帝,5
1955,E5BA95,底,6
1956,E5BAAD,庭,6
1957,E5BBB7,廷,1
1958,E5BC9F,弟,7
1959,E6828C,悌,3
1960,E68AB5,抵,9
1961,E68CBA,挺,9
1962,E68F90,提,9
1963,E6A2AF,梯,3
1964,E6B180,汀,7
1965,E7A287,碇,6
1966,E7A68E,禎,9
1967,E7A88B,程,9
1968,E7B7A0,締,4
1969,E88987,艇,4
1970,E8A882,訂,7
1971,E8ABA6,諦,7
1972,E8B984,蹄,7
1973,E98093,逓,0
1974,E982B8,邸,7
1975,E984AD,鄭,7
1976,E98798,釘,2
1977,E9BC8E,鼎,7
1978,E6B3A5,泥,0
1979,E69198,摘,3
1980,E693A2,擢,9
1981,E695B5,敵,8
1982,E6BBB4,滴,0
1983,E79A84,的,1
1984,E7AC9B,笛,4
1985,E981A9,適,0
1986,E98F91,鏑,4
1987,E6BABA,溺,0
1988,E593B2,哲,2
1989,E5BEB9,徹,9
1990,E692A4,撤,9
1991,E8BD8D,轍,4
1992,E8BFAD,迭,0
1993,E98984,鉄,4
1994,E585B8,典,6
1995,E5A1AB,填,8
1996,E5A4A9,天,5
1997,E5B195,展,8
1998,E5BA97,店,6
1999,E6B7BB,添,0
2000,E7BA8F,纏,4
2001,E7949C,甜,1
2002,E8B2BC,貼,1
2003,E8BBA2,転,4
2004,E9A19B,顛,8
2005,E782B9,点,6
2006,E4BC9D,伝,9
2007,E6AEBF,殿,8
2008,E6BEB1,澱,8
2009,E794B0,田,2
2010,E99BBB,電,6
2011,E5858E,兎,2
2012,E59090,吐,8
2013,E5A0B5,堵,4
2014,E5A197,塗,6
2015,E5A6AC,妬,1
2016,E5B1A0,屠,1
2017,E5BE92,徒,9
2018,E69697,斗,7
2019,E69D9C,杜,9
2020,E6B8A1,渡,0
2021,E799BB,登,2
2022,E88F9F,菟,2
2023,E8B3AD,賭,1
2024,E98094,途,0
2025,E983BD,都,7
2026,E98D8D,鍍,4
2027,E7A0A5,砥,1
2028,E7A0BA,砺,1
2029,E58AAA,努,1
2030,E5BAA6,度,6
2031,E59C9F,土,5
2032,E5A5B4,奴,4
2033,E68092,怒,2
2034,E58092,倒,3
2035,E5859A,党,2
2036,E586AC,冬,7
2037,E5878D,凍,0
2038,E58880,刀,2
2039,E59490,唐,6
2040,E5A194,塔,3
2041,E5A198,塘,4
2042,E5A597,套,5
2043,E5AE95,宕,2
2044,E5B3B6,島,6
2045,E5B68B,嶋,4
2046,E682BC,悼,3
2047,E68A95,投,9
2048,E690AD,搭,9
2049,E69DB1,東,5
2050,E6A183,桃,9
2051,E6A2BC,梼,3
2052,E6A39F,棟,3
2053,E79B97,盗,2
2054,E6B798,淘,0
2055,E6B9AF,湯,0
2056,E6B69B,涛,0
2057,E781AF,灯,7
2058,E78788,燈,8
2059,E5BD93,当,2
2060,E79798,痘,9
2061,E7A5B7,祷,3
2062,E7AD89,等,7
2063,E7AD94,答,7
2064,E7AD92,筒,4
2065,E7B396,糖,4
2066,E7B5B1,統,4
2067,E588B0,到,1
2068,E891A3,董,7
2069,E895A9,蕩,7
2070,E897A4,藤,7
2071,E8A88E,討,1
2072,E8AC84,謄,4
2073,E8B186,豆,2
2074,E8B88F,踏,1
2075,E98083,逃,0
2076,E9808F,透,0
2077,E99099,鐙,4
2078,E999B6,陶,1
2079,E9A0AD,頭,8
2080,E9A8B0,騰,4
2081,E99798,闘,1
2082,E5838D,働,3
2083,E58B95,動,1
2084,E5908C,同,1
2085,E5A082,堂,5
2086,E5B08E,導,7
2087,E686A7,憧,9
2088,E6929E,撞,9
2089,E6B49E,洞,0
2090,E79EB3,瞳,8
2091,E7ABA5,童,5
2092,E883B4,胴,4
2093,E89084,萄,1
2094,E98193,道,0
2095,E98A85,銅,4
2096,E5B3A0,峠,4
2097,E9B487,鴇,1
2098,E58CBF,匿,8
2099,E5BE97,得,3
2100,E5BEB3,徳,3
2101,E6B69C,涜,0
2102,E789B9,特,3
2103,E79DA3,督,3
2104,E7A6BF,禿,2
2105,E7AFA4,篤,1
2106,E6AF92,毒,2
2107,E78BAC,独,9
2108,E8AAAD,読,8
2109,E6A083,栃,3
2110,E6A9A1,橡,3
2111,E587B8,凸,2
2112,E7AA81,突,5
2113,E6A4B4,椴,9
2114,E5B18A,届,1
2115,E9B3B6,鳶,1
2116,E88BAB,苫,7
2117,E5AF85,寅,6
2118,E98589,酉,6
2119,E7809E,瀞,0
2120,E599B8,噸,8
2121,E5B1AF,屯,0
2122,E68387,惇,3
2123,E695A6,敦,8
2124,E6B28C,沌,0
2125,E8B19A,豚,7
2126,E98181,遁,0
2127,E9A093,頓,8
2128,E59191,呑,2
2129,E69B87,曇,6
2130,E9888D,鈍,4
2131,E5A588,奈,5
2132,E982A3,那,7
2133,E58685,内,2
2134,E4B98D,乍,5
2135,E587AA,凪,6
2136,E89699,薙,6
2137,E8AC8E,謎,8
2138,E78198,灘,0
2139,E68DBA,捺,3
2140,E98D8B,鍋,4
2141,E6A5A2,楢,3
